protein_index,protein,g_statistic,p_value,comment
2,2,8.157413503035622,0.016929345351892715,Test performed
4,4,7.013036094668748,0.030001195523388872,Test performed
69,69,6.3043731778425665,0.042758529248229635,Test performed
77,77,6.425931791785452,0.040237097082382024,Test performed
85,85,6.317990399623053,0.04246839189733116,Test performed
90,90,10.331836734693876,0.005707818557097501,Test performed
100,100,7.089896866830896,0.028870111204331736,Test performed
168,168,6.334912061304311,0.04211058980336572,Test performed
201,201,8.183549783549786,0.016709549581335654,Test performed
248,248,9.703606667892382,0.007814273091593596,Test performed
263,263,8.881321845647555,0.011788144890533396,Test performed
320,320,8.775510204081632,0.012428598862710053,Test performed
332,332,11.561982507288631,0.0030856552247916697,Test performed
333,333,6.825473432616289,0.03295089960413476,Test performed
338,338,6.626218054789482,0.036402820270038654,Test performed
381,381,6.499647028622771,0.038781051528381155,Test performed
384,384,7.006956977802458,0.030092524640024598,Test performed
387,387,6.425931791785452,0.040237097082382024,Test performed
437,437,6.621371600049638,0.03649113954608507,Test performed
440,440,8.282185054472917,0.015905464854984425,Test performed
469,469,6.465396825396825,0.03945090021949915,Test performed
472,472,8.294301327088213,0.015809398665701413,Test performed
484,484,6.314176614041843,0.042549451829406025,Test performed
494,494,8.525059392621005,0.014086622422654982,Test performed
502,502,9.506122448979589,0.008625250918483467,Test performed
511,511,8.673469387755102,0.013079166033695494,Test performed
515,515,7.649715623954499,0.02182153807181727,Test performed
518,518,6.273167044595618,0.0434309255091372,Test performed
530,530,12.958111172396887,0.0015352599155306135,Test performed
553,553,6.815198168581626,0.03312062482046533,Test performed
559,559,7.709750566893423,0.021176244173618335,Test performed
582,582,10.70400253124506,0.004738658190030583,Test performed
602,602,6.825473432616289,0.03295089960413476,Test performed
612,612,10.375922490208207,0.005583378359050675,Test performed
616,616,8.954251323589302,0.01136603607929378,Test performed
621,621,6.701127284844642,0.03506458464249013,Test performed
622,622,8.112059369202228,0.017317639293289593,Test performed
659,659,7.879818594104308,0.01944997883579603,Test performed
662,662,9.217105645677075,0.00996623077820217,Test performed
664,664,6.28364774853879,0.043203927467306925,Test performed
691,691,6.75374149659864,0.034154164664268655,Test performed
705,705,6.011810489162408,0.049493929931110854,Test performed
720,720,6.293673932157897,0.04298788418722904,Test performed
732,732,8.157413503035622,0.016929345351892715,Test performed
749,749,9.21034569638839,0.009999973377974397,Test performed
759,759,7.537520551457835,0.023080659211449476,Test performed
780,780,7.4145695574267005,0.024544075474976303,Test performed
798,798,6.443949701092558,0.039876230853814094,Test performed
817,817,9.866324152038437,0.007203688618506579,Test performed
830,830,7.047113745720018,0.02949434075480335,Test performed
866,866,8.525059392621005,0.014086622422654982,Test performed
905,905,9.877780949209523,0.007162540986352578,Test performed
923,923,6.344866495242435,0.04190151699319624,Test performed
924,924,8.433523069091583,0.014746322717807906,Test performed
926,926,6.980449837592694,0.03049401272319951,Test performed
936,936,7.109261394975681,0.028591932039104775,Test performed
939,939,9.220758537528724,0.009948044609683803,Test performed
954,954,9.220758537528724,0.009948044609683803,Test performed
964,964,11.497237992941535,0.0031871792644732585,Test performed
979,979,6.842058209185704,0.03267878773819467,Test performed
980,980,7.615030774214449,0.022203277028369925,Test performed
1000,1000,10.106916892631178,0.006387205397004853,Test performed
1010,1010,7.774756128866639,0.020499022755584913,Test performed
1021,1021,6.7200388726919345,0.0347345838247894,Test performed
1024,1024,8.256395088693226,0.016111893639549985,Test performed
1030,1030,6.271986271986273,0.043456574103301414,Test performed
1035,1035,8.196905135680646,0.016598340344907692,Test performed
1040,1040,7.515724693425041,0.02333356617522367,Test performed
1074,1074,8.751608751608751,0.012578020716693086,Test performed
1094,1094,6.513115223916619,0.038520773492983024,Test performed
1101,1101,7.351157517270475,0.025334738580099783,Test performed
1113,1113,7.680079420930933,0.021492747841122588,Test performed
1136,1136,7.617001687893201,0.022181407434705917,Test performed
1151,1151,12.076540877920582,0.002385681529257637,Test performed
1157,1157,6.977941422874569,0.030532282532485876,Test performed
1162,1162,10.59306752153877,0.0050089259867477105,Test performed
1164,1164,7.109261394975681,0.028591932039104775,Test performed
1175,1175,8.28479976896419,0.015884684317014296,Test performed
1177,1177,8.756369931485137,0.012548113219999737,Test performed
1180,1180,9.26706895382738,0.009720341990570282,Test performed
1183,1183,6.455864770150486,0.03963937307636164,Test performed
1186,1186,9.128048142333856,0.010420043467016337,Test performed
1215,1215,7.7871103089761995,0.02037278872685692,Test performed
1218,1218,7.460396746111031,0.023988076776604014,Test performed
1221,1221,6.484973736329976,0.03906662065953476,Test performed
1227,1227,6.337055730296898,0.04206547840085265,Test performed
1233,1233,7.802561114031279,0.02021600711361955,Test performed
1237,1237,6.783987441130299,0.033641538167388546,Test performed
1238,1238,6.491609977324264,0.03893720772735716,Test performed
1249,1249,7.405781906549954,0.02465215512583985,Test performed
1270,1270,10.13122765736006,0.006310036432461272,Test performed
1271,1271,6.4921950923226435,0.03892581802139219,Test performed
1276,1276,8.979510561691821,0.011223390052065867,Test performed
1286,1286,7.4145695574267005,0.024544075474976303,Test performed
1290,1290,6.731073804244534,0.03454346467879971,Test performed
1291,1291,6.6837505977447655,0.03537056510719727,Test performed
1306,1306,6.812495112987724,0.03316541852871501,Test performed
1323,1323,6.128079610222468,0.046698660158676256,Test performed
1337,1337,8.41797183989875,0.014861431380317185,Test performed
1340,1340,7.169066760903494,0.027749613121574902,Test performed
1341,1341,8.618771833057547,0.01344180144841535,Test performed
1342,1342,10.884353741496598,0.004330047050985806,Test performed
1349,1349,8.898453927025358,0.01168759841915314,Test performed
1354,1354,7.680079420930933,0.021492747841122588,Test performed
1368,1368,8.979510561691821,0.011223390052065867,Test performed
1380,1380,6.197339727717396,0.04510916383539812,Test performed
1387,1387,7.351157517270475,0.025334738580099783,Test performed
1388,1388,8.433523069091583,0.014746322717807906,Test performed
1389,1389,7.507699256765079,0.023427385312916653,Test performed
1392,1392,6.3720010148581565,0.04133686726186388,Test performed
1393,1393,7.615030774214449,0.022203277028369925,Test performed
1395,1395,7.381835851223604,0.02494909011935279,Test performed
1397,1397,6.317990399623053,0.04246839189733116,Test performed
1402,1402,8.46695821185617,0.014501849210505595,Test performed
1412,1412,8.354026925455496,0.01534426542454624,Test performed
1416,1416,7.657397770638189,0.021737880713531554,Test performed
1424,1424,8.298840663025771,0.015773557269364916,Test performed
1428,1428,10.327668743103883,0.005719726030221505,Test performed
1433,1433,8.31118846646797,0.015676472880111463,Test performed
1436,1436,9.637188208616783,0.00807813617629553,Test performed
1439,1439,10.790566893424037,0.004537933954031404,Test performed
1450,1450,7.242717599860455,0.02674630890742037,Test performed
1451,1451,6.971975393028024,0.030623496765993505,Test performed
1468,1468,6.499647028622771,0.038781051528381155,Test performed
1483,1483,10.57811638168781,0.005046510872400514,Test performed
1488,1488,7.928108120324542,0.018985987722901852,Test performed
1494,1494,6.906651549508691,0.031640232913285896,Test performed
1502,1502,6.124625850340135,0.046779372808653887,Test performed
1521,1521,6.455864770150486,0.03963937307636164,Test performed
1525,1525,7.367890850033707,0.025123655536572413,Test performed
1526,1526,6.250250450811462,0.04393143194754983,Test performed
1527,1527,6.107365678634276,0.04718482986024224,Test performed
1528,1528,7.013036094668748,0.030001195523388872,Test performed
1532,1532,10.777460317460317,0.004567769997389899,Test performed
1537,1537,6.314176614041843,0.042549451829406025,Test performed
1549,1549,8.809601554907678,0.012218540381109942,Test performed
1552,1552,7.805086192182967,0.020190499720109827,Test performed
1561,1561,6.618931000971817,0.03653569684794565,Test performed
1581,1581,6.906651549508691,0.031640232913285896,Test performed
1582,1582,11.472108843537418,0.003227477451068582,Test performed
1586,1586,6.499647028622771,0.038781051528381155,Test performed
1588,1588,6.293673932157897,0.04298788418722904,Test performed
1598,1598,13.291627072114876,0.0012994508380189237,Test performed
1607,1607,8.183549783549786,0.016709549581335654,Test performed
1630,1630,7.185277739213598,0.02752559803574719,Test performed
1633,1633,6.919436670989465,0.03143861591359277,Test performed
1634,1634,6.200407481288255,0.04504002497498306,Test performed
1636,1636,9.037445335276967,0.010902941457800583,Test performed
1646,1646,6.842058209185704,0.03267878773819467,Test performed
1648,1648,8.152206695486075,0.016973476694412334,Test performed
1649,1649,7.229857929566383,0.02691883733475978,Test performed
1653,1653,6.825473432616289,0.03295089960413476,Test performed
1655,1655,10.396825396825395,0.005525327825465432,Test performed
1663,1663,6.271986271986273,0.043456574103301414,Test performed
1664,1664,7.774756128866639,0.020499022755584913,Test performed
1666,1666,6.011810489162408,0.049493929931110854,Test performed
1667,1667,8.41797183989875,0.014861431380317185,Test performed
1673,1673,8.673469387755102,0.013079166033695494,Test performed
1675,1675,6.768707482993197,0.03389954313613922,Test performed
1691,1691,9.712513357833554,0.007779550810355771,Test performed
1699,1699,8.955646258503402,0.011358111402936001,Test performed
1702,1702,6.273167044595618,0.0434309255091372,Test performed
1705,1705,6.225887615320101,0.04446985177281998,Test performed
1707,1707,7.776054421768708,0.020485720205832055,Test performed
1730,1730,7.546915317851277,0.02297249475454255,Test performed
1734,1734,6.27997100479536,0.04328342540330579,Test performed
1743,1743,6.225887615320101,0.04446985177281998,Test performed
1752,1752,6.75374149659864,0.034154164664268655,Test performed
1761,1761,7.037717309145881,0.029633237634340226,Test performed
1764,1764,7.7437177056615,0.020819632800160387,Test performed
